121 156
190 137 49
61 137 74
167 15 15
125 117 16
54 13 95
31 152 30
138 195 85
23 93 99
216 63 43
218 169 86
184 2 1
30 78 62
79 214 46
95 40 69
84 205 65
200 190 59
144 96 44
177 202 37
74 144 61
68 54 5
191 195 40
183 124 41
105 116 87
39 155 29
204 211 20
127 138 85
113 138 5
62 75 72
164 184 31
6 74 55
37 170 15
48 171 43
186 195 29
189 74 49
12 128 56
215 25 8
206 175 47
126 197 5
92 87 63
81 155 15
149 69 96
201 173 75
187 195 7
66 86 28
10 165 76
114 174 98
50 112 30
196 62 83
24 84 79
73 15 8
111 43 12
35 87 92
103 96 4
70 126 59
194 216 96
59 48 20
159 68 14
99 21 17
178 111 35
133 156 20
33 167 71
17 173 91
55 122 10
106 176 73
185 4 72
57 169 18
162 212 34
130 165 84
44 32 24
7 5 89
217 151 45
49 201 95
58 167 21
192 143 37
77 73 95
182 136 19
181 92 100
53 176 70
179 103 77
207 200 48
83 2 80
47 91 18
100 206 45
41 194 7
89 179 4
209 101 20
14 121 62
210 89 23
135 143 44
168 73 75
140 137 45
97 111 10
153 59 17
94 91 94
45 36 16
56 162 64
52 4 88
199 45 27
107 188 30
27 86 80
208 69 6
160 52 3
18 130 44
42 127 54
193 33 22
163 78 8
118 143 23
3 158 26
29 54 42
139 204 39
60 139 78
80 29 95
20 72 50
141 38 71
213 134 66
34 72 99
180 101 49
76 209 10
120 137 63
11 142 13
88 157 54
166 186 5
148 181 65
1 117 26
19 139 10
67 111 6
65 176 24
75 108 37
107 119 7
196 105 38
127 121 31
89 157 38
5 148 67
64 133 75
135 217 61
89 108 76
150 27 38
157 212 51
62 106 13
19 208 17
144 54 72
115 95 40
166 203 96
284 496
259 260 94
247 260 98
86 260 5
212 86 79
162 86 22
152 162 43
112 212 64
121 152 34
13 86 27
56 247 45
161 152 62
166 56 8
94 247 41
153 56 19
93 94 61
130 56 41
275 130 25
157 275 31
282 161 81
209 161 19
277 162 53
19 247 20
284 56 74
50 157 18
54 277 35
217 54 1
87 50 83
184 212 51
141 50 23
125 259 94
33 259 50
6 153 19
278 153 79
67 209 10
128 184 85
9 212 90
164 56 7
188 87 37
169 130 65
114 125 37
44 152 73
116 161 14
100 217 86
106 141 15
70 87 77
65 67 4
213 67 47
136 116 24
185 86 29
237 86 1
148 87 82
47 121 82
32 19 7
262 50 20
261 54 74
117 148 29
265 275 7
206 157 44
149 136 83
276 206 96
150 9 47
154 237 8
163 141 85
159 237 13
28 163 40
172 87 53
62 169 89
131 161 50
27 153 72
53 169 33
129 128 45
279 262 72
138 128 45
280 138 21
142 184 32
74 213 89
72 184 47
133 237 18
254 209 5
167 50 49
95 277 1
101 133 4
29 278 39
91 261 77
52 19 36
233 65 79
256 112 92
193 247 51
122 9 57
42 279 17
34 247 32
85 209 21
239 275 21
20 185 3
214 44 5
232 95 76
243 159 38
135 277 48
170 121 93
218 136 55
2 20 3
219 184 4
210 209 16
110 159 100
69 138 99
88 42 78
105 136 75
181 217 94
174 141 54
242 74 96
22 74 33
226 125 84
197 128 1
79 135 13
202 164 68
224 141 46
186 232 68
246 72 36
146 56 58
179 174 66
205 184 93
176 19 3
113 278 64
283 70 52
63 242 72
40 170 95
36 117 70
168 131 17
198 44 31
84 202 26
204 261 17
200 224 25
208 276 38
257 283 21
178 91 86
273 166 56
126 284 91
215 47 8
274 54 69
139 239 18
60 84 19
92 40 71
68 135 89
236 218 6
241 275 94
3 208 22
132 159 60
158 239 19
207 91 52
270 36 95
244 79 22
37 219 96
4 105 24
12 149 3
252 276 85
201 130 71
211 129 16
266 193 67
7 209 72
191 67 13
268 270 85
23 136 8
194 79 28
115 153 4
57 246 100
10 259 21
245 236 55
61 110 83
41 116 86
8 128 56
234 128 12
249 122 41
108 67 17
71 214 74
220 188 30
143 243 29
187 278 43
255 243 7
102 256 88
251 210 18
272 157 87
267 184 26
192 170 1
180 207 7
99 131 29
43 252 1
199 234 16
111 247 21
39 108 89
190 12 99
96 84 62
64 62 82
25 257 36
66 283 26
155 102 36
75 34 24
11 275 70
48 6 72
21 62 54
228 188 99
58 53 79
18 53 9
196 43 13
258 6 64
80 149 8
203 257 38
31 100 4
271 39 43
81 178 53
263 268 92
76 72 5
45 218 22
55 122 61
127 112 62
281 276 7
51 121 66
231 243 24
189 247 28
250 226 89
30 174 29
238 266 44
195 111 41
264 132 54
147 260 54
124 91 86
182 274 59
78 208 63
109 44 45
144 85 7
82 96 77
269 136 41
229 60 95
26 74 71
97 181 44
253 272 91
35 91 13
103 191 76
183 76 58
140 250 23
90 191 10
15 281 27
160 121 80
240 114 1
89 274 34
137 85 15
165 186 74
235 22 11
221 185 21
118 78 62
59 179 64
38 164 48
24 26 53
156 131 56
14 97 38
225 150 90
98 143 59
77 51 77
216 203 40
230 234 78
5 66 80
73 190 31
222 44 100
171 80 2
120 153 35
248 55 33
177 261 80
151 240 16
17 126 37
107 220 54
175 111 99
104 218 58
123 157 4
145 220 9
227 139 95
16 25 16
83 50 16
119 263 7
46 51 92
134 193 15
1 192 88
173 16 30
49 98 7
223 13 80
18 105 4
105 32 53
265 271 69
277 65 39
216 280 75
273 218 84
234 262 80
281 209 24
27 83 3
259 83 11
208 51 42
231 258 86
175 117 27
259 89 37
26 242 22
125 11 62
22 203 81
9 170 97
74 4 53
252 245 10
172 157 68
81 101 43
59 198 74
7 217 72
34 28 19
116 61 20
205 67 48
218 42 77
168 208 95
193 167 88
28 1 2
49 1 86
201 137 86
47 276 16
62 3 43
212 81 32
133 11 49
43 68 56
93 9 76
17 75 59
13 73 76
121 46 37
157 79 35
133 100 32
73 224 47
266 232 95
60 175 58
102 218 87
31 136 39
249 71 46
171 234 83
193 24 76
234 55 21
95 152 78
232 98 5
135 215 59
50 146 15
88 260 19
244 105 7
61 228 90
222 277 74
183 189 65
48 181 76
117 56 42
174 25 91
140 236 12
147 242 7
173 3 31
271 224 69
3 169 8
131 263 72
31 241 49
75 69 85
92 226 20
64 253 74
254 188 14
142 161 51
30 248 20
31 232 55
139 274 21
158 133 69
228 256 91
71 181 46
94 66 47
5 187 5
9 84 72
83 192 78
47 69 2
276 220 88
182 30 77
249 244 81
234 84 31
109 177 84
156 217 54
266 104 92
112 242 18
19 103 59
110 85 69
127 261 78
46 174 10
274 265 37
64 16 32
238 77 82
71 114 71
148 120 72
69 121 37
76 54 26
206 215 17
176 111 32
67 133 50
37 137 28
198 13 26
272 110 55
163 197 78
147 4 19
47 231 17
181 60 44
81 21 38
261 6 94
261 14 89
10 272 77
219 209 31
45 37 77
250 92 71
92 117 99
11 131 34
147 248 44
278 30 53
166 248 58
124 159 3
237 3 7
254 90 49
208 185 48
204 169 53
52 17 74
251 15 32
20 134 72
243 109 86
15 89 55
257 95 32
29 64 77
18 146 57
41 274 16
256 229 3
256 155 40
73 237 86
284 28 18
210 131 81
168 156 2
105 66 49
56 241 31
82 269 24
165 29 26
39 215 70
44 162 74
271 63 97
240 124 14
98 109 64
268 62 81
94 125 32
180 227 4
31 230 63
190 78 84
99 84 93
251 166 59
62 274 47
194 250 36
166 257 30
278 226 68
133 9 95
182 258 39
158 278 36
144 58 71
164 272 62
272 111 31
38 147 60
245 266 17
44 79 16
78 57 61
58 77 8
224 152 63
10 275 27
276 81 58
186 14 30
270 164 25
46 19 59
203 225 67
63 264 86
266 49 100
277 134 33
140 137 25
106 127 94
237 269 62
149 272 1
206 213 100
202 200 63
53 51 5
53 108 41
263 96 78
272 52 61
221 192 13
92 86 16
98 12 92
177 124 54
203 171 15
105 121 3
81 53 13
36 162 3
117 172 54
61 262 57
108 263 33
45 81 16
24 106 51
236 456
78 10 27
6 78 82
235 10 60
40 235 54
89 6 94
26 6 18
105 6 33
1 6 10
121 26 58
198 89 88
158 10 8
110 26 60
214 158 51
143 89 8
69 105 70
42 214 70
36 143 84
224 214 28
2 198 9
175 36 47
113 40 4
200 89 18
126 1 99
80 69 94
155 113 2
116 198 43
226 10 8
182 198 40
202 116 95
81 10 81
95 81 35
68 42 60
180 214 77
55 10 33
234 175 63
186 80 28
65 158 45
231 68 37
84 226 8
215 113 13
147 113 77
118 126 68
100 147 79
159 198 3
162 1 71
33 2 34
48 68 95
83 126 71
233 10 20
19 126 90
70 100 48
151 68 94
9 80 73
187 143 93
62 116 86
72 159 3
28 83 98
165 231 61
117 69 62
59 234 22
197 175 16
174 69 74
188 110 11
219 158 90
212 1 85
111 234 92
190 10 56
37 158 36
41 10 73
8 26 25
223 65 92
27 111 98
146 212 12
123 113 5
58 70 10
150 95 88
67 27 1
140 188 76
135 83 63
14 212 60
103 200 73
177 118 63
51 14 49
34 198 23
154 37 5
141 151 14
101 180 54
76 200 46
7 80 25
172 84 56
35 69 36
210 123 26
97 165 6
52 81 67
29 113 22
49 224 100
185 33 17
161 210 46
213 33 95
85 116 92
184 197 68
12 223 36
66 161 6
168 185 1
211 76 81
108 83 60
220 140 38
144 65 29
99 10 53
53 231 78
44 108 47
30 151 29
189 108 55
218 2 16
13 184 5
153 105 31
23 162 78
134 1 53
152 95 95
25 152 78
79 103 63
22 108 12
169 53 47
139 121 98
119 22 50
18 187 37
157 141 97
39 97 86
32 220 31
163 162 75
201 161 69
148 168 38
229 23 96
87 198 94
61 147 85
120 111 37
104 111 62
102 12 76
176 83 95
204 97 74
57 117 52
88 62 17
94 152 31
15 12 82
5 52 2
47 19 36
205 19 67
96 157 74
107 176 42
208 58 50
228 79 23
11 228 5
60 231 16
203 135 2
98 26 47
92 87 84
137 172 41
142 121 62
207 161 11
222 41 91
217 208 73
75 13 44
45 113 66
128 10 80
195 219 96
54 187 26
115 11 46
171 119 63
181 68 17
164 226 85
138 101 48
20 233 97
145 81 24
191 57 40
31 182 46
106 83 70
63 217 6
133 39 63
166 72 24
199 53 3
125 202 95
24 200 86
73 172 91
173 210 73
112 63 12
209 197 16
71 115 84
178 15 18
56 228 9
156 174 61
21 113 89
132 222 41
46 40 85
227 31 36
122 29 69
64 92 16
74 180 47
216 176 92
16 104 57
170 133 20
194 214 40
3 150 39
167 140 93
43 75 1
114 101 39
236 46 99
4 12 44
124 71 86
221 219 88
90 194 93
136 224 28
109 99 100
82 92 100
232 14 72
230 202 77
86 73 43
50 145 71
206 228 69
93 34 36
196 98 37
149 186 96
130 98 83
77 73 70
225 84 98
192 5 94
179 155 87
131 215 67
91 136 7
129 19 39
183 208 92
160 96 97
127 146 53
193 64 10
38 21 11
17 202 32
5 30 13
35 126 7
26 60 15
68 47 54
56 102 3
41 157 18
223 101 71
122 127 62
50 135 39
24 25 32
31 3 93
10 46 69
61 213 19
143 209 2
23 221 22
117 201 22
62 216 32
167 120 48
61 83 54
180 193 79
177 84 43
95 85 51
81 193 57
229 222 7
33 190 8
39 63 31
117 198 95
114 152 98
42 123 57
78 136 66
63 138 56
3 133 22
20 77 94
121 163 46
55 217 13
108 10 85
98 155 99
1 125 42
164 96 41
150 168 8
53 95 66
29 172 42
228 135 86
139 225 84
208 143 47
47 219 28
133 86 25
8 99 49
9 231 40
7 200 9
77 224 68
116 71 99
16 158 79
146 72 89
143 25 74
222 92 99
201 7 30
151 41 93
139 201 91
153 144 95
119 215 40
2 187 19
167 105 85
126 34 50
224 229 35
126 171 87
63 126 19
1 54 99
194 1 63
42 103 57
181 24 32
6 186 19
102 22 13
22 116 69
157 6 91
30 67 50
12 134 20
95 73 39
97 31 9
146 71 3
98 45 75
87 22 59
160 11 78
208 174 95
152 137 43
66 123 7
208 79 31
148 59 99
60 47 70
155 204 83
35 109 95
114 117 56
66 210 65
229 49 61
214 111 18
57 6 75
143 162 74
89 114 67
116 190 7
134 23 26
30 176 58
215 135 20
37 150 6
95 132 58
230 217 65
123 89 53
132 197 96
94 145 17
189 148 10
7 94 69
226 149 20
210 141 54
136 80 33
114 189 83
216 149 38
11 15 59
181 114 46
15 128 43
81 207 62
188 123 2
178 158 24
99 108 79
160 145 16
220 218 68
67 152 34
83 211 61
15 90 94
34 124 50
106 117 61
10 84 77
217 212 94
3 117 29
33 8 99
93 27 50
104 27 13
212 226 32
136 195 91
200 173 74
194 41 59
224 35 75
128 165 49
65 78 86
201 178 71
65 86 70
51 185 27
147 190 85
80 147 10
191 65 43
205 6 51
5 209 88
33 133 43
26 134 45
107 9 83
195 183 11
180 227 2
124 86 49
138 113 16
116 211 14
194 124 30
187 169 86
123 65 16
157 50 54
106 150 56
91 20 16
46 37 51
69 82 81
146 23 5
140 225 24
153 137 49
87 46 47
234 124 47
218 93 60
203 91 25
167 173 87
134 37 8
51 3 75
79 226 89
122 161 67
184 41 84
22 225 28
31 36 76
203 28 65
146 59 2
86 231 83
148 235 30
67 166 90
81 54 85
89 211 28
66 160 99
7 222 24
184 6 68
119 81 82
47 129 19
203 177 46
14 174 67
53 140 6
41 178 76
117 212 92
209 236 74
41 106 95
77 141 92
117 182 41
131 4 43
13 118 99
79 116 18
18 162 50
148 75 24
63 89 30
185 110 53
16 109 38
65 142 73
208 207 11
158 27 15
195 207 74
221 217 66
119 41 72
183 46 80
157 28 90
57 158 80
91 29 9
114 145 10
226 349
208 212 42
201 208 7
68 212 24
19 68 9
90 212 60
126 208 28
2 90 85
42 68 59
112 212 19
97 42 35
194 97 79
104 201 11
220 90 49
172 97 20
59 104 100
92 42 1
198 220 47
120 208 36
155 92 25
5 208 22
95 90 33
12 19 49
29 92 81
179 59 53
46 19 45
64 198 58
193 172 77
99 208 98
86 155 82
224 97 44
58 86 10
50 58 11
8 120 22
214 193 84
52 92 58
223 64 32
23 90 34
41 50 59
16 223 31
83 29 89
71 90 82
54 23 38
184 46 9
215 99 61
128 54 57
129 59 56
87 41 43
124 12 25
78 46 46
51 155 53
158 8 43
80 71 66
222 19 51
116 97 81
62 2 49
98 124 88
73 215 41
137 198 96
85 98 86
15 116 44
114 193 5
94 64 15
118 52 17
107 128 63
171 112 82
13 155 23
35 58 59
22 59 59
221 13 31
197 214 41
217 35 19
185 155 14
84 42 58
213 52 5
216 90 43
140 126 5
188 171 65
182 217 76
162 124 49
117 64 43
45 217 96
53 8 44
31 12 45
219 73 58
38 51 72
60 185 10
170 80 20
17 220 65
76 12 15
103 208 10
33 217 64
189 193 52
121 155 68
88 64 89
133 80 73
72 188 96
61 201 76
207 193 20
48 120 11
138 90 62
199 103 46
105 52 11
36 16 73
20 17 54
10 219 31
47 207 13
82 46 67
177 31 75
159 85 61
1 94 7
109 188 31
14 189 98
141 117 93
55 84 38
164 86 97
144 68 90
66 88 79
57 201 53
67 35 3
131 59 34
134 219 46
176 78 94
56 215 95
206 217 90
160 155 59
142 20 51
153 221 96
218 179 70
24 73 78
157 221 40
37 16 26
110 38 89
190 59 15
63 157 32
81 155 57
123 19 81
40 73 10
173 114 2
161 67 31
152 17 39
32 160 34
79 157 89
75 98 17
225 95 25
101 58 54
108 59 98
147 42 92
175 54 67
119 223 92
102 87 77
4 133 57
6 223 94
151 103 2
127 81 69
74 199 26
166 41 98
209 147 67
200 22 68
3 2 82
43 221 29
106 116 80
100 199 11
156 222 80
204 201 65
113 207 42
226 37 78
9 71 87
178 207 63
135 223 54
187 214 11
183 32 12
167 117 77
96 170 75
28 80 83
69 193 39
34 194 50
77 17 46
93 207 49
7 116 18
139 28 95
174 36 68
25 4 30
11 218 49
18 153 8
181 25 36
26 217 94
30 43 31
39 20 92
111 113 55
44 76 53
146 222 41
130 152 14
169 121 93
154 12 56
143 80 72
70 144 80
150 207 36
165 187 37
196 16 82
192 146 20
180 54 43
21 47 13
186 64 82
203 194 5
65 119 16
205 44 93
211 13 12
149 180 88
148 104 94
89 38 19
136 32 59
168 192 23
202 17 30
132 201 46
191 130 90
195 65 94
91 162 87
115 113 23
163 106 80
27 213 60
122 48 87
145 138 74
125 146 92
49 150 15
210 19 17
169 216 4
167 201 3
31 164 75
102 70 72
97 159 18
1 103 15
212 66 1
2 209 10
94 168 47
146 171 8
25 30 83
154 212 53
75 61 74
132 102 62
79 75 14
155 209 4
53 225 99
82 129 59
161 90 43
145 209 42
40 110 71
155 26 5
119 109 27
195 177 47
225 115 76
136 14 70
116 190 30
83 139 96
107 126 42
203 86 98
95 210 21
119 44 36
37 33 79
73 204 29
166 3 59
19 78 67
5 202 41
51 132 62
196 114 8
109 38 42
34 18 82
47 33 84
92 28 11
65 72 23
173 152 67
87 110 91
167 203 58
143 211 6
164 122 14
187 194 89
153 30 52
85 142 37
166 193 65
183 91 30
88 126 39
3 7 65
120 56 74
91 174 61
64 101 74
220 77 85
38 219 53
34 121 36
27 48 73
82 99 23
168 100 3
38 43 38
11 47 82
53 154 22
191 124 85
163 177 86
36 81 80
125 192 58
155 91 52
176 143 49
53 66 29
3 150 9
55 90 24
2 133 19
95 116 74
94 124 71
107 13 6
62 65 6
214 153 96
22 158 18
219 186 20
49 203 12
74 133 28
45 171 67
65 9 85
30 184 40
20 197 5
216 38 3
46 178 58
132 62 24
37 170 48
223 186 99
89 11 16
169 142 50
54 177 97
167 217 49
219 164 16
32 131 1
58 65 25
37 162 32
71 37 38
181 209 97
72 102 27
159 77 90
171 199 30
131 52 22
29 212 11
152 118 44
103 201 35
108 222 5
79 151 68
49 196 34
31 73 45
191 129 68
196 209 13
176 200 16
194 1 40
75 146 47
93 63 11
82 118 48
267 512
147 111 19
10 111 1
253 10 93
79 147 78
31 10 43
12 31 88
137 253 32
176 10 85
94 31 16
30 31 21
27 147 30
16 111 14
116 253 97
222 30 7
32 116 29
211 32 52
58 27 51
198 94 30
47 111 74
136 116 59
225 116 93
179 198 28
105 222 63
15 79 24
84 253 52
247 136 2
172 94 44
168 111 17
173 147 58
227 147 83
22 176 36
121 172 81
135 15 36
174 222 56
143 58 69
220 27 2
228 225 5
134 228 20
190 16 92
170 253 64
214 247 11
52 134 12
57 12 87
59 168 54
112 168 64
263 121 14
80 58 11
195 222 11
127 136 98
208 170 86
161 198 78
37 147 74
21 27 55
252 135 98
128 179 56
17 198 97
108 105 12
156 80 2
97 128 25
109 80 3
86 47 63
77 84 30
193 10 94
221 247 8
101 214 19
107 252 11
184 109 68
117 59 18
20 16 80
98 156 96
53 193 77
114 57 1
148 12 7
266 179 31
51 109 52
265 253 95
242 53 35
83 107 87
90 214 76
65 107 33
89 31 27
11 65 83
68 135 88
40 97 1
166 179 58
235 195 95
122 57 91
46 172 16
155 86 37
82 86 66
175 121 13
246 40 46
87 135 76
75 137 28
131 114 48
150 94 40
102 97 85
138 168 81
217 135 39
212 128 73
180 47 64
169 220 85
226 77 95
241 143 49
118 221 55
63 156 90
251 193 85
152 265 98
189 109 96
146 152 67
93 131 28
103 68 20
245 82 7
6 226 11
66 46 12
67 211 50
203 246 58
71 253 42
243 77 6
60 93 37
205 184 78
213 227 65
92 184 73
262 90 18
232 265 29
196 212 48
164 253 12
120 10 63
215 138 85
13 227 24
206 51 49
43 205 7
260 127 6
219 263 91
202 208 82
240 89 66
129 31 11
125 242 48
38 87 22
239 53 9
69 148 57
200 143 26
42 80 31
99 129 10
223 147 73
267 125 3
192 174 34
188 98 91
259 66 100
185 60 21
165 63 38
50 185 25
224 77 96
254 205 52
236 170 81
231 114 79
204 146 36
81 107 63
149 77 99
24 262 75
167 67 7
207 31 84
41 10 73
187 79 84
191 87 41
49 50 13
163 149 5
26 99 21
216 16 3
144 116 86
159 212 47
106 259 74
96 243 45
162 206 3
54 135 44
248 173 57
151 144 97
72 54 14
139 69 85
197 24 82
130 128 75
264 180 16
34 105 15
28 223 82
35 24 17
160 79 27
74 176 92
209 248 17
145 179 39
39 38 76
177 17 17
140 80 42
2 167 43
45 32 90
9 164 62
33 226 92
7 169 26
85 84 84
1 10 90
19 259 91
44 146 60
141 98 59
183 49 52
157 191 19
29 102 41
115 120 3
256 38 56
218 260 79
142 111 92
186 49 74
36 151 42
8 6 73
61 189 35
119 251 12
48 195 60
249 122 90
95 242 75
25 116 73
4 139 40
14 12 8
229 263 94
153 92 60
133 168 33
110 68 10
244 263 54
113 163 82
126 13 81
132 9 75
238 20 68
258 95 71
178 63 23
230 247 22
261 179 49
64 4 44
124 105 8
158 22 70
234 169 80
237 94 93
250 209 83
123 59 10
55 176 33
194 258 35
171 206 94
91 65 38
88 198 12
56 63 89
233 192 59
181 249 99
104 222 2
78 166 58
199 229 99
62 38 52
5 72 11
255 248 47
23 32 13
18 167 94
3 82 71
182 147 51
76 181 42
201 200 69
257 216 27
70 12 39
100 231 57
73 83 40
154 224 71
210 33 96
267 53 100
174 1 38
154 250 82
258 82 10
4 153 1
69 212 85
1 99 72
79 117 94
227 139 34
115 231 43
95 30 63
113 5 94
181 23 26
206 214 39
144 195 68
216 108 96
121 221 94
35 201 41
38 61 56
234 65 40
114 184 79
38 134 86
97 89 95
220 146 70
4 164 65
92 22 3
155 78 19
212 233 84
174 77 99
227 82 39
63 215 33
244 101 92
66 144 88
198 174 90
256 19 20
104 16 53
118 161 18
15 155 16
39 139 62
64 114 67
193 129 9
136 180 7
36 258 95
64 128 8
242 165 2
165 32 40
177 225 83
103 197 84
77 5 25
230 22 24
86 153 76
140 69 40
253 49 84
241 41 18
168 51 61
123 259 27
3 160 14
45 209 23
134 206 13
110 96 1
245 163 91
253 189 61
25 234 43
12 111 15
119 21 12
85 25 92
122 186 88
14 223 23
234 228 97
85 169 55
116 130 22
108 119 90
240 21 47
266 152 80
262 82 95
168 156 17
149 184 41
72 39 77
257 206 8
132 225 32
139 109 31
40 266 69
64 184 32
202 211 72
163 145 100
135 267 83
51 68 11
169 179 84
83 137 29
119 265 79
184 33 91
134 24 73
72 141 66
170 72 12
256 140 49
183 188 47
190 28 68
202 50 31
60 107 33
252 215 71
264 209 8
40 111 8
18 114 38
16 12 60
97 233 98
72 262 69
140 9 64
16 148 31
211 6 13
134 98 83
143 189 64
140 46 66
8 170 81
84 214 85
8 57 59
82 255 53
180 158 94
34 42 8
254 175 71
23 177 2
210 186 68
195 96 81
221 59 41
77 82 12
196 243 73
133 215 94
145 51 26
263 104 3
223 248 48
171 219 97
69 50 71
164 20 26
9 143 51
72 174 36
114 58 50
205 200 49
212 139 74
6 38 66
121 6 5
246 35 57
102 158 73
180 120 21
25 219 50
201 36 25
89 168 53
231 255 77
174 131 76
201 85 14
29 266 40
103 44 17
63 186 86
117 120 42
150 80 6
63 76 63
24 43 6
15 134 30
170 27 27
188 60 19
49 54 66
129 22 8
147 167 75
4 46 40
71 64 81
210 187 16
190 201 68
163 256 85
112 160 58
44 163 65
191 8 21
60 77 100
28 86 19
223 62 15
89 55 2
129 131 99
117 18 79
108 80 55
32 150 26
218 263 100
20 10 13
203 85 58
135 174 15
121 252 60
112 95 30
63 16 31
15 76 77
160 219 74
173 112 13
53 190 88
125 59 46
75 117 93
231 228 57
50 225 46
43 240 29
118 76 92
126 228 15
103 1 19
110 181 97
202 238 49
81 247 90
20 260 24
237 134 35
37 30 13
45 113 83
141 180 31
181 138 39
263 235 9
192 125 29
188 118 67
147 243 79
104 88 96
26 236 60
92 192 50
236 267 32
177 58 52
104 199 68
192 257 51
56 137 18
266 24 54
151 256 20
133 26 96
67 11 70
31 58 38
15 208 70
7 256 63
222 12 64
260 214 62
119 147 98
157 87 77
93 24 42
94 153 24
12 176 74
10 4 97
170 22 66
227 229 26
111 215 91
115 17 96
161 76 97
215 114 45
53 150 50
53 209 39
39 257 36
5 146 31
48 151 65
252 265 56
105 199 82
152 158 17
271 453
78 57 64
63 57 54
161 78 50
186 161 26
117 161 20
143 78 43
73 161 21
60 186 61
194 143 8
124 117 58
32 161 85
61 124 32
214 73 41
146 214 22
11 63 59
116 143 3
7 214 75
93 11 65
105 63 72
165 11 62
122 93 35
110 165 22
207 93 95
98 73 88
13 105 42
118 207 17
91 194 91
38 194 15
20 78 49
191 124 91
206 146 26
208 161 19
213 124 54
187 13 31
192 206 78
115 20 92
227 73 64
175 194 77
259 32 92
159 118 62
126 122 43
129 73 57
160 259 78
99 143 31
47 11 19
89 129 94
170 175 100
4 57 29
157 207 85
257 213 63
45 165 87
260 213 85
262 159 37
176 11 50
233 78 85
15 227 43
103 160 26
220 4 88
189 220 39
196 115 98
1 45 12
242 206 61
125 129 73
39 196 82
97 187 37
37 118 73
44 220 58
178 47 85
245 206 90
174 117 5
241 213 23
128 20 6
184 178 83
96 242 82
148 175 79
23 194 40
53 37 52
193 242 3
3 208 87
162 117 87
104 3 14
151 13 22
8 143 23
22 115 27
76 175 14
5 148 49
144 23 7
142 105 97
72 47 20
137 159 21
71 97 74
81 220 86
223 143 67
177 186 63
108 93 69
205 129 65
244 71 19
256 7 78
80 122 56
261 96 21
90 178 79
198 124 12
180 176 27
21 38 56
251 11 64
19 118 25
84 191 86
255 194 54
168 143 50
24 73 80
203 159 4
25 255 13
62 89 95
211 38 40
33 39 84
210 184 12
225 125 13
209 220 15
27 20 93
234 244 1
119 225 99
149 105 100
248 225 57
135 261 4
179 260 74
216 160 30
172 103 36
34 60 77
202 262 92
267 203 19
130 80 87
152 38 97
268 122 6
269 72 75
136 33 86
201 15 84
2 152 4
95 45 94
181 57 85
6 44 58
236 267 21
114 198 23
166 268 11
31 47 84
222 39 11
29 93 98
109 98 34
56 241 48
239 39 79
70 209 39
92 115 47
182 205 44
185 15 88
153 122 53
204 44 98
48 24 27
154 122 90
218 251 54
68 174 69
258 61 25
141 44 65
266 34 48
252 180 26
247 98 100
59 159 84
40 198 63
232 204 93
147 15 95
83 241 100
85 130 72
49 209 18
158 266 54
41 119 69
111 47 90
238 181 36
28 267 43
230 236 95
270 61 87
14 256 93
35 241 100
54 204 87
26 260 6
75 98 82
16 98 49
212 22 95
107 13 87
173 41 6
188 144 51
100 193 3
240 193 59
226 157 36
42 89 21
17 149 62
134 238 64
249 196 7
237 70 34
229 15 57
106 137 11
52 259 48
121 227 64
253 37 3
55 251 56
243 218 91
87 136 100
246 71 1
133 83 35
217 253 19
43 31 70
250 248 94
77 256 45
9 60 42
167 83 47
127 152 14
79 16 65
46 137 16
231 60 76
12 20 39
94 107 87
145 181 45
140 14 93
271 174 68
221 135 93
263 121 13
74 180 49
101 128 86
88 95 40
113 133 21
265 72 60
66 27 96
195 3 14
139 244 92
224 133 71
69 205 7
183 173 54
131 262 91
132 54 71
200 270 85
102 154 68
82 117 40
36 77 18
58 257 5
171 63 18
120 26 47
50 158 93
169 77 67
164 209 90
190 171 10
150 231 89
138 98 61
18 165 85
215 108 36
67 11 55
197 108 38
163 263 35
219 90 49
64 170 26
156 140 26
86 2 65
123 29 80
155 96 21
65 248 46
264 173 59
235 156 3
10 35 65
112 187 24
199 220 50
51 140 38
228 193 96
254 13 94
30 263 33
109 50 51
210 135 70
103 44 40
111 143 67
155 130 1
247 131 91
143 20 87
196 198 49
188 70 1
45 30 89
169 161 80
163 257 53
248 37 53
245 171 28
96 162 100
236 217 58
15 129 66
236 147 7
183 270 54
17 216 37
121 258 24
104 86 49
220 68 78
186 30 31
271 101 39
201 55 29
178 20 51
200 20 76
247 63 68
103 125 90
54 115 28
258 32 23
155 114 85
166 252 49
29 9 74
256 229 32
134 124 59
46 38 15
30 219 79
171 1 97
198 37 56
37 51 38
165 270 89
225 220 10
201 102 80
78 25 47
163 254 39
173 223 90
251 60 55
58 152 53
17 189 89
207 139 75
217 178 78
75 236 82
255 142 73
74 144 86
16 77 43
248 69 44
132 153 13
120 183 78
117 35 12
45 18 52
226 102 77
240 70 9
207 197 94
215 152 41
228 253 100
223 102 98
251 238 31
248 85 49
142 263 88
102 96 21
179 129 15
171 217 36
238 199 17
206 251 64
43 56 82
159 3 28
201 7 17
106 222 96
166 239 42
55 130 88
38 60 90
236 68 83
177 148 51
140 85 35
55 21 9
209 115 45
35 32 59
164 240 60
163 61 91
196 202 53
258 247 31
103 113 8
195 251 56
263 143 42
1 239 45
197 58 56
223 179 90
71 63 90
183 11 16
26 76 20
198 18 59
